"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"8085";"";"8085";"DIL40";"MICROCOMPUTER/PERIPHERAL DEVICE";"";"";"unknown";"unknown";"";"";
"8255";"";"8255A";"DIL40";"MICROCOMPUTER/PERIPHERAL DEVICE";"";"";"unknown";"unknown";"";"";
"ADC-1";"ADS7842(12-ADC)";"ADS7842(12-ADC)";"SSOP28";"";"";"";"";"";"";"";
"AD_LATCH";"74HC573N";"74HC573N";"DIL20";"8-bit D latch BUS DRIVER";"";"";"";"";"";"";
"CHANGE";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"";"";
"C_1";"";"CAPACITOR-NON_POLAR025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_2";"";"CAPACITOR-POLARE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"C_3";"";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_4";"";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_5";"";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_6";"";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_7";"";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_8";"";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_9";"";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_11";"";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_12";"";"CAPACITOR-POLARE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"C_13";"";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_14";"";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_15";"";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_16";"";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_17";"";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_18";"";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_20";"";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C_21";"";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"DECODER";"74HCT138N";"74HCT138N";"DIL16";"3-line to 8-line DECODER/DEMULTIPLEXER";"";"";"";"";"";"";
"FINGERLED";"KBREVMTNLED";"KBREVMTNLED";"KBREVMNTLED";"";"";"";"";"";"";"";
"GND";"M01SMDNS";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";"";"";
"HC1";"2.2uf";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"";
"HC2";"4.7uf";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"";
"HC3";"4.7uf";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"";
"HC4";"2.2uf";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"";
"HC5";"4.7uf";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"";
"HEART_PULSE";"M01SMDNS";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";"";"";
"HR2";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";
"HR3";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";
"HR4";"12k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";
"HR5";"470";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";
"HR6";"3.3m";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";
"HRCOM";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"H_R1";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";
"IC1";"7404N";"7404N";"DIL14";"Hex INVERTER";"";"";"";"";"";"";
"IC2";"7432N";"7432N";"DIL14";"Quad 2-input OR gate";"";"";"";"";"";"";
"IC3";"74HCT74N";"74HCT74N";"DIL14";"Dual D type positive edge triggered FLIP FLOP, preset and clear";"";"";"";"";"";"";
"LCD1";"";"16X2LCD";"16X2_LCD";"ALPHANUMERIC-LCD";"";"";"";"";"";"";
"LED1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";
"LM35_PORT";"";"M03";"03P";"AMP QUICK CONNECTOR";"";"";"unknown";"unknown";"";"";
"LM358";"LM358N";"LM358N";"DIL08";"OP AMP also LM158; LM258; LM2904";"";"";"";"";"";"";
"OUT1";"M01SMDNS";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";"";"";
"POW_LED";"LED3MM";"LED3MM";"LED3MM";"";"";"";"";"";"";"";
"PULSE";"M01SMDNS";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";"";"";
"Q1";"";"CRYSTALHC49US";"HC49US";"Crystals";"";"";"";"";"";"";
"R9";"";"POTENTIOMETER_PT-10";"PT-10";"Potentiometer";"";"";"";"";"";"";
"RAM-62256P";"";"62256P";"DIL28-6";"MEMORY";"";"";"unknown";"unknown";"";"";
"RE_SWI";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"";"";
"ROM1";"EEPROM_ZIF";"EEPROM_ZIF";"DIL28-6-ZIF_SOCKET";"";"";"";"";"";"";"";
"R_1";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_2";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_3";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_4";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_5";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_6";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_7";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_8";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_9";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_10";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_14";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_15";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_16";"";"RESISTOR0207/7";"0207/7";"";"";"";"";"";"";"";
"R_17";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_18";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_19";"68k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"R_20";"22k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"SID_SWI";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"";"";
"SL1";"";"M10";"10P";"AMP QUICK CONNECTOR";"";"";"unknown";"unknown";"";"";
"SL2";"";"M10";"10P";"AMP QUICK CONNECTOR";"";"";"unknown";"unknown";"";"";
"SL3";"";"M10";"10P";"AMP QUICK CONNECTOR";"";"";"unknown";"unknown";"";"";
"SL4";"";"M10";"10P";"AMP QUICK CONNECTOR";"";"";"unknown";"unknown";"";"";
"SL5";"";"M14";"14P";"AMP QUICK CONNECTOR";"";"";"unknown";"unknown";"";"";
"SL6";"";"M14";"14P";"AMP QUICK CONNECTOR";"";"";"unknown";"unknown";"";"";
"SLIDE";"SLIDESWITCH-BIG";"SLIDESWITCH-BIG";"BIGSWITCH";"";"";"";"";"";"";"";
"SODR_11";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"SOD_LED";"LED5MM";"LED5MM";"LED5MM";"";"";"";"";"";"";"";
"TC6";"100nF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"TC7";"100nF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"TEMP_SENSOR";"M01SMDNS";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";"";"";
"U$1";"PRESET_LR";"PRESET_LR";"PRESET_LR";"";"";"";"";"";"";"";
"U$2";"USB(POWER)";"USB(POWER)";"USB(POWER)";"";"";"";"";"";"";"";
"U$3";"MCP6001UT-E/OT";"MCP6001UT-E/OT";"SOT95P270X145-5N";"1 MHz, Low-Power Op Amp";"";"MCP6001UT-E/OT";"1840893";"84R5183";"SOT23-5";"Microchip";
"U$4";"APDS9008";"APDS9008";"APDS9008";"";"";"";"";"";"";"";
"U1";"LM4040A41IDBZT";"LM4040A41IDBZT";"SOT95P237X112-3N";"PRECISION MICROPOWER SHUNT VOLTAGE REFERENCE";"";"LM4040A41IDBZT";"1755107";"66K2443";"3-SOT-23";"TEXAS INSTRUMENTS";
